0,"{1.*^9}"
1,"{9.997120092677839*^8}"
2,"{9.994240673258781*^8}"
3,"{9.991361802913132*^8}"
4,"{9.988483481640892*^8}"
5,"{9.985605709442059*^8}"
6,"{9.982728486316636*^8}"
7,"{9.97985181226462*^8}"
8,"{9.976975687286013*^8}"
9,"{9.974100111380816*^8}"
10,"{9.971225084549026*^8}"
11,"{9.968350606790645*^8}"
12,"{9.965476678105673*^8}"
13,"{9.962603298494109*^8}"
14,"{9.959730467955953*^8}"
15,"{9.956858186491206*^8}"
16,"{9.953986454099867*^8}"
17,"{9.951115270781938*^8}"
18,"{9.948244636537416*^8}"
19,"{9.945374551366303*^8}"
20,"{9.942505015268599*^8}"
21,"{9.939636028244302*^8}"
22,"{9.936767590060909*^8}"
23,"{9.933899699936631*^8}"
24,"{9.931032357808018*^8}"
25,"{9.928165563675072*^8}"
26,"{9.925299317537794*^8}"
27,"{9.922433619396181*^8}"
28,"{9.919568469250236*^8}"
29,"{9.916703867099956*^8}"
30,"{9.913839812945343*^8}"
31,"{9.910976306786398*^8}"
32,"{9.908113348623118*^8}"
33,"{9.905250938455505*^8}"
34,"{9.902389076283559*^8}"
35,"{9.899527762107279*^8}"
36,"{9.896666995926665*^8}"
37,"{9.893806777741718*^8}"
38,"{9.890947107552439*^8}"
39,"{9.888087985358825*^8}"
40,"{9.885229411160878*^8}"
41,"{9.882371384958597*^8}"
42,"{9.879513906751983*^8}"
43,"{9.876656976021812*^8}"
44,"{9.873800592209746*^8}"
45,"{9.870944755315603*^8}"
46,"{9.868089465339382*^8}"
47,"{9.865234722281083*^8}"
48,"{9.862380526140707*^8}"
49,"{9.859526876918254*^8}"
50,"{9.856673774613723*^8}"
51,"{9.853821219227114*^8}"
52,"{9.850969210758429*^8}"
53,"{9.848117749207665*^8}"
54,"{9.845266834574825*^8}"
55,"{9.842416466859906*^8}"
56,"{9.83956664606291*^8}"
57,"{9.836717372183838*^8}"
58,"{9.833868645222687*^8}"
59,"{9.831020465179459*^8}"
60,"{9.828172832054154*^8}"
61,"{9.825325745846771*^8}"
62,"{9.822479206557311*^8}"
63,"{9.81963323094628*^8}"
64,"{9.81678782139835*^8}"
65,"{9.813942921790613*^8}"
66,"{9.811098568444498*^8}"
67,"{9.808254761306907*^8}"
68,"{9.805411500323108*^8}"
69,"{9.802568785438466*^8}"
70,"{9.799726616602335*^8}"
71,"{9.796884993764042*^8}"
72,"{9.794043916871458*^8}"
73,"{9.79120338587246*^8}"
74,"{9.788363400714918*^8}"
75,"{9.785523961346705*^8}"
76,"{9.782685067715696*^8}"
77,"{9.77984671976976*^8}"
78,"{9.777008917456774*^8}"
79,"{9.774171660724608*^8}"
80,"{9.771334949521136*^8}"
81,"{9.768498783794231*^8}"
82,"{9.765663163491766*^8}"
83,"{9.762828088561614*^8}"
84,"{9.759993558951647*^8}"
85,"{9.757159574609739*^8}"
86,"{9.754326135483762*^8}"
87,"{9.751493241521589*^8}"
88,"{9.748660892671094*^8}"
89,"{9.745829088880148*^8}"
90,"{9.742997830096625*^8}"
91,"{9.740167116268399*^8}"
92,"{9.737336947343341*^8}"
93,"{9.734507323269324*^8}"
94,"{9.731678243994223*^8}"
95,"{9.728849709465909*^8}"
96,"{9.726021719632255*^8}"
97,"{9.723194274441134*^8}"
98,"{9.720367373840419*^8}"
99,"{9.717541017777984*^8}"
100,"{9.7147152062017*^8}"
101,"{9.711889939059441*^8}"
102,"{9.709065216299081*^8}"
103,"{9.70624103786849*^8}"
104,"{9.703417403715543*^8}"
105,"{9.700594313788112*^8}"
106,"{9.697771768034071*^8}"
107,"{9.694949766401292*^8}"
108,"{9.692128308837647*^8}"
109,"{9.689307395291013*^8}"
110,"{9.686487025709257*^8}"
111,"{9.683667200040256*^8}"
112,"{9.680847918231881*^8}"
113,"{9.678029180232005*^8}"
114,"{9.675210985988503*^8}"
115,"{9.672393335449246*^8}"
116,"{9.669576228562107*^8}"
117,"{9.666759665274959*^8}"
118,"{9.663943645535675*^8}"
119,"{9.661128169292128*^8}"
120,"{9.658313236492192*^8}"
121,"{9.655498847083737*^8}"
122,"{9.652685001014639*^8}"
123,"{9.649871698232769*^8}"
124,"{9.647058938686001*^8}"
125,"{9.644246722322208*^8}"
126,"{9.641435049089262*^8}"
127,"{9.638623918935037*^8}"
128,"{9.635813331807405*^8}"
129,"{9.633003287654239*^8}"
130,"{9.630193786423413*^8}"
131,"{9.627384828062798*^8}"
132,"{9.624576412520268*^8}"
133,"{9.621768539743696*^8}"
134,"{9.618961209680955*^8}"
135,"{9.616154422279918*^8}"
136,"{9.613348177488458*^8}"
137,"{9.610542475254446*^8}"
138,"{9.607737315525758*^8}"
139,"{9.604932698250264*^8}"
140,"{9.602128623375839*^8}"
141,"{9.599325090850354*^8}"
142,"{9.596522100621685*^8}"
143,"{9.593719652637702*^8}"
144,"{9.590917746846279*^8}"
145,"{9.588116383195288*^8}"
146,"{9.585315561632603*^8}"
147,"{9.582515282106097*^8}"
148,"{9.579715544563642*^8}"
149,"{9.576916348953111*^8}"
150,"{9.574117695222379*^8}"
151,"{9.571319583319316*^8}"
152,"{9.568522013191795*^8}"
153,"{9.565724984787692*^8}"
154,"{9.562928498054878*^8}"
155,"{9.560132552941225*^8}"
156,"{9.557337149394606*^8}"
157,"{9.554542287362895*^8}"
158,"{9.551747966793965*^8}"
159,"{9.548954187635689*^8}"
160,"{9.546160949835938*^8}"
161,"{9.543368253342588*^8}"
162,"{9.54057609810351*^8}"
163,"{9.537784484066577*^8}"
164,"{9.534993411179663*^8}"
165,"{9.532202879390639*^8}"
166,"{9.529412888647381*^8}"
167,"{9.526623438897759*^8}"
168,"{9.523834530089647*^8}"
169,"{9.521046162170918*^8}"
170,"{9.518258335089445*^8}"
